filename,audio_path,video_path,text,label
sample_06252,data/raw/audio\sample_06252.wav,data/raw/video\sample_06252.mp4,"Wonderful, exceeded all expectations!",2
sample_04684,data/raw/audio\sample_04684.wav,data/raw/video\sample_04684.mp4,"Great film, emotional and powerful.",2
sample_01731,data/raw/audio\sample_01731.wav,data/raw/video\sample_01731.mp4,"An average performance, could be better.",1
sample_04742,data/raw/audio\sample_04742.wav,data/raw/video\sample_04742.mp4,Mediocre storyline but decent acting.,1
sample_04521,data/raw/audio\sample_04521.wav,data/raw/video\sample_04521.mp4,"Wonderful, exceeded all expectations!",2
sample_06340,data/raw/audio\sample_06340.wav,data/raw/video\sample_06340.mp4,"It was okay, not great but not bad either.",1
sample_00576,data/raw/audio\sample_00576.wav,data/raw/video\sample_00576.mp4,"Awful experience, not worth watching.",0
sample_05202,data/raw/audio\sample_05202.wav,data/raw/video\sample_05202.mp4,"Absolutely loved it, fantastic experience!",2
sample_06363,data/raw/audio\sample_06363.wav,data/raw/video\sample_06363.mp4,"Completely disappointed, waste of time.",0
sample_00439,data/raw/audio\sample_00439.wav,data/raw/video\sample_00439.mp4,"It was okay, not great but not bad either.",1
sample_02750,data/raw/audio\sample_02750.wav,data/raw/video\sample_02750.mp4,"Completely disappointed, waste of time.",0
sample_07487,data/raw/audio\sample_07487.wav,data/raw/video\sample_07487.mp4,"This was terrible, I hated every moment.",0
sample_05272,data/raw/audio\sample_05272.wav,data/raw/video\sample_05272.mp4,"This was terrible, I hated every moment.",0
sample_05653,data/raw/audio\sample_05653.wav,data/raw/video\sample_05653.mp4,"It was okay, not great but not bad either.",1
sample_03999,data/raw/audio\sample_03999.wav,data/raw/video\sample_03999.mp4,"Completely disappointed, waste of time.",0
sample_06033,data/raw/audio\sample_06033.wav,data/raw/video\sample_06033.mp4,"An average performance, could be better.",1
sample_00582,data/raw/audio\sample_00582.wav,data/raw/video\sample_00582.mp4,"This was terrible, I hated every moment.",0
sample_09930,data/raw/audio\sample_09930.wav,data/raw/video\sample_09930.mp4,"It was okay, not great but not bad either.",1
sample_07051,data/raw/audio\sample_07051.wav,data/raw/video\sample_07051.mp4,"This was terrible, I hated every moment.",0
sample_08158,data/raw/audio\sample_08158.wav,data/raw/video\sample_08158.mp4,"Completely disappointed, waste of time.",0
sample_09896,data/raw/audio\sample_09896.wav,data/raw/video\sample_09896.mp4,"Wonderful, exceeded all expectations!",2
